,,Variable (% change from baseline),,,,,
,,Parks,Residential,Transit Stations,Grocery and Pharmacy,Retail and recreation,Workplaces
Bath and North East Somerset,No., 48 , 33 , 22 , 22 , 19 , 3 
Bedford,No., 320 , 25 , 22 , 21 , 19 , 6 
Blackburn with Darwen,No., 809 , 42 , 22 , 22 , 22 , 3 
Blackpool,No., 374 , 26 , 25 , 25 , 25 , 6 
Borough of Halton,No., 631 , 59 , 19 , 19 , 19 , -   
Bracknell Forest,No., 582 , 104 , 19 , 19 , 19 , -   
Brighton and Hove,No., 32 , 12 , 6 , 2 , 2 , -   
Bristol City,No., 25 , -   , -   , -   , -   , -   
Buckinghamshire,No., 25 , -   , -   , -   , -   , -   
Cambridgeshire,No., 25 , -   , -   , -   , -   , -   
Central Bedfordshire,No., 43 , 19 , 7 , 6 , 6 , 1 
Cheshire East,No., 25 , 3 , 3 , -   , -   , -   
Cheshire West and Chester,No., 25 , 3 , 3 , -   , -   , -   
Cornwall,No., 27 , 6 , 3 , -   , -   , -   
County Durham,No., 25 , 3 , -   , -   , -   , -   
Cumbria,No., 25 , 1 , -   , -   , -   , -   
Darlington,No., 688 , 62 , 19 , 19 , 19 , -   
Derby,No., 266 , 6 , 5 , 3 , -   , -   
Derbyshire,No., 20 , -   , -   , -   , -   , -   
Devon,No., 23 , -   , -   , -   , -   , -   
Dorset,No., 26 , -   , -   , -   , -   , -   
East Riding of Yorkshire,No., 29 , 25 , 22 , 3 , 3 , -   
East Sussex,No., 25 , 1 , -   , -   , -   , -   
Essex,No., 19 , -   , -   , -   , -   , -   
Gloucestershire,No., 25 , -   , -   , -   , -   , -   
Greater London,No., -   , -   , -   , -   , -   , -   
Greater Manchester,No., -   , -   , -   , -   , -   , -   
Hampshire,No., 12 , -   , -   , -   , -   , -   
Hartlepool,No., 799 , 180 , 19 , 19 , 19 , 18 
Herefordshire,No., 39 , 24 , 22 , 22 , 22 , 3 
Isle of Wight,No., 51 , 47 , 22 , 22 , 22 , 3 
Kent,No., 2 , -   , -   , -   , -   , -   
Kingston upon Hull,No., 41 , 6 , 3 , -   , -   , -   
Lancashire,No., 21 , -   , -   , -   , -   , -   
Leicester,No., 28 , 3 , -   , -   , -   , -   
Leicestershire,No., 25 , -   , -   , -   , -   , -   
Lincolnshire,No., 25 , 3 , -   , -   , -   , -   
Luton,No., 773 , 25 , 25 , 6 , 4 , -   
Medway,No., 32 , 22 , 18 , 6 , 3 , 1 
Merseyside,No., 1 , -   , -   , -   , -   , -   
Middlesbrough,No., 580 , 46 , 22 , 22 , 22 , 3 
Milton Keynes,No., 25 , 6 , 3 , 2 , -   , -   
Norfolk,No., 24 , -   , -   , -   , -   , -   
North East Lincolnshire,No., 104 , 25 , 25 , 25 , 19 , 6 
North Lincolnshire,No., 37 , 23 , 22 , 22 , 22 , 3 
North Somerset,No., 26 , 24 , 22 , 20 , 6 , 2 
North Yorkshire,No., 21 , 3 , -   , -   , -   , -   
Northamptonshire,No., 25 , -   , -   , -   , -   , -   
Northumberland,No., 25 , 25 , 19 , 4 , 3 , 1 
Nottingham,No., 45 , 3 , -   , -   , -   , -   
Nottinghamshire,No., 25 , -   , -   , -   , -   , -   
Oxfordshire,No., 25 , -   , -   , -   , -   , -   
Peterborough,No., 762 , 25 , 9 , 6 , 3 , -   
Plymouth,No., 25 , 14 , 14 , 3 , 3 , 3 
Portsmouth,No., 340 , 7 , 6 , 6 , 5 , 3 
Reading,No., 332 , 44 , 22 , 9 , 6 , -   
Redcar and Cleveland,No., 510 , 47 , 22 , 22 , 22 , 3 
Rutland,No., 700 , 685 , 649 , 567 , 553 , 6 
Shropshire,No., 25 , 6 , -   , -   , -   , -   
Slough,No., 293 , 36 , 22 , 22 , 22 , 3 
Somerset,No., 25 , 6 , -   , -   , -   , -   
South Gloucestershire,No., 36 , 6 , 4 , 3 , -   , -   
South Yorkshire,No., 19 , -   , -   , -   , -   , -   
Southampton,No., 25 , 3 , 3 , 3 , 3 , 2 
Southend-on-Sea,No., 207 , 43 , 22 , 22 , 8 , 3 
Staffordshire,No., 28 , -   , -   , -   , -   , -   
Stockton-on-Tees,No., 91 , 25 , 24 , 21 , 21 , 6 
Stoke-on-Trent,No., 182 , 25 , 10 , 3 , 3 , -   
Suffolk,No., 25 , 3 , -   , -   , -   , -   
Surrey,No., 1 , -   , -   , -   , -   , -   
Swindon,No., 720 , 25 , 12 , 6 , 6 , 3 
Thurrock,No., 468 , 22 , 22 , 22 , 20 , 6 
Torbay,No., 104 , 50 , 22 , 22 , 22 , 3 
Tyne and Wear,No., 19 , -   , -   , -   , -   , -   
Warrington,No., 511 , 25 , 16 , 10 , 6 , 5 
Warwickshire,No., 25 , -   , -   , -   , -   , -   
West Berkshire,No., 62 , 19 , 19 , 19 , 7 , -   
West Midlands,No., -   , -   , -   , -   , -   , -   
West Sussex,No., 22 , -   , -   , -   , -   , -   
West Yorkshire,No., 2 , -   , -   , -   , -   , -   
Wiltshire,No., 25 , 4 , 3 , -   , -   , -   
Windsor and Maidenhead,No., 73 , 19 , 19 , 19 , 19 , -   
Wokingham,No., 517 , 62 , 19 , 19 , 19 , -   
Worcestershire,No., 25 , -   , -   , -   , -   , -   
York,No., 34 , 23 , 16 , 10 , 6 , 3 
,,,,,,,
,,,,,,,
,," 13,206 "," 2,119 "," 1,374 "," 1,145 "," 1,049 ", 108 