"","Name","Geography","Population","Region","region_code"
"1","Bath and North East Somerset","Unitary Authority",196357,"SOUTH WEST","SW"
"2","Bedford","Unitary Authority",174687,"EAST","EE"
"3","Blackburn with Darwen","Unitary Authority",150030,"NORTH WEST","NW"
"4","Blackpool","Unitary Authority",138381,"NORTH WEST","NW"
"5","Borough of Halton",NA,129759,"NORTH WEST","NW"
"6","Bracknell Forest","Unitary Authority",124165,"SOUTH EAST","SE"
"7","Brighton and Hove","Unitary Authority",291738,"SOUTH EAST","SE"
"8","Bristol City",NA,465866,"SOUTH WEST","SW"
"9","Buckinghamshire","Unitary Authority",547060,"SOUTH EAST","SE"
"10","Cambridgeshire","County",657204,"EAST","EE"
"11","Central Bedfordshire","Unitary Authority",294096,"EAST","EE"
"12","Cheshire East","Unitary Authority",386667,"NORTH WEST","NW"
"13","Cheshire West and Chester","Unitary Authority",343823,"NORTH WEST","NW"
"14","Cornwall","Unitary Authority",573299,"SOUTH WEST","SW"
"15","County Durham","Unitary Authority",533149,"NORTH EAST","NE"
"16","Cumbria","County",499781,"NORTH WEST","NW"
"17","Darlington","Unitary Authority",107402,"NORTH EAST","NE"
"18","Derby","Unitary Authority",256814,"EAST MIDLANDS","EM"
"19","Derbyshire","County",807183,"EAST MIDLANDS","EM"
"20","Devon","County",810716,"SOUTH WEST","SW"
"21","Dorset","Unitary Authority",379791,"SOUTH WEST","SW"
"22","East Riding of Yorkshire","Unitary Authority",343201,"YORKSHIRE AND THE HUMBER","YH"
"23","East Sussex","County",558852,"SOUTH EAST","SE"
"24","Essex","County",1497759,"EAST","EE"
"25","Gloucestershire","County",640650,"SOUTH WEST","SW"
"26","Greater London",NA,9002488,"LONDON","LN"
"27","Greater Manchester",NA,2848286,"NORTH WEST","NW"
"28","Hampshire","County",1389206,"SOUTH EAST","SE"
"29","Hartlepool","Unitary Authority",93836,"NORTH EAST","NE"
"30","Herefordshire",NA,193615,"WEST MIDLANDS","WM"
"31","Isle of Wight","Unitary Authority",142296,"SOUTH EAST","SE"
"32","Kent","County",1589057,"SOUTH EAST","SE"
"33","Kingston upon Hull",NA,259126,"YORKSHIRE AND THE HUMBER","YH"
"34","Lancashire","County",1227076,"NORTH WEST","NW"
"35","Leicester","Unitary Authority",354036,"EAST MIDLANDS","EM"
"36","Leicestershire","County",713085,"EAST MIDLANDS","EM"
"37","Lincolnshire","County",766333,"EAST MIDLANDS","EM"
"38","Luton","Unitary Authority",213528,"EAST","EE"
"39","Medway","Unitary Authority",279142,"SOUTH EAST","SE"
"40","Merseyside",NA,1434256,"NORTH WEST","NW"
"41","Middlesbrough","Unitary Authority",141285,"NORTH EAST","NE"
"42","Milton Keynes","Unitary Authority",270203,"SOUTH EAST","SE"
"43","Norfolk","County",914039,"EAST","EE"
"44","North East Lincolnshire","Unitary Authority",159364,"YORKSHIRE AND THE HUMBER","YH"
"45","North Lincolnshire","Unitary Authority",172748,"YORKSHIRE AND THE HUMBER","YH"
"46","North Somerset","Unitary Authority",215574,"SOUTH WEST","SW"
"47","North Yorkshire","County",620610,"YORKSHIRE AND THE HUMBER","YH"
"48","Northamptonshire",NA,757181,"EAST MIDLANDS","EM"
"49","Northumberland","Unitary Authority",323820,"NORTH EAST","NE"
"50","Nottingham","Unitary Authority",337098,"EAST MIDLANDS","EM"
"51","Nottinghamshire","County",833377,"EAST MIDLANDS","EM"
"52","Oxfordshire","County",696880,"SOUTH EAST","SE"
"53","Peterborough","Unitary Authority",202626,"EAST","EE"
"54","Plymouth","Unitary Authority",262839,"SOUTH WEST","SW"
"55","Portsmouth","Unitary Authority",214692,"SOUTH EAST","SE"
"56","Reading","Unitary Authority",160337,"SOUTH EAST","SE"
"57","Redcar and Cleveland","Unitary Authority",137228,"NORTH EAST","NE"
"58","Rutland","Unitary Authority",40476,"EAST MIDLANDS","EM"
"59","Shropshire","Unitary Authority",325415,"WEST MIDLANDS","WM"
"60","Slough","Unitary Authority",149577,"SOUTH EAST","SE"
"61","Somerset","County",563851,"SOUTH WEST","SW"
"62","South Gloucestershire","Unitary Authority",287816,"SOUTH WEST","SW"
"63","South Yorkshire",NA,1415054,"YORKSHIRE AND THE HUMBER","YH"
"64","Southampton","Unitary Authority",252872,"SOUTH EAST","SE"
"65","Southend-on-Sea","Unitary Authority",182773,"EAST","EE"
"66","Staffordshire","County",883172,"WEST MIDLANDS","WM"
"67","Stockton-on-Tees","Unitary Authority",197419,"NORTH EAST","NE"
"68","Stoke-on-Trent","Unitary Authority",256622,"WEST MIDLANDS","WM"
"69","Suffolk","County",761246,"EAST","EE"
"70","Surrey","County",1199870,"SOUTH EAST","SE"
"71","Swindon","Unitary Authority",222881,"SOUTH WEST","SW"
"72","Thurrock","Unitary Authority",175531,"EAST","EE"
"73","Torbay","Unitary Authority",136218,"SOUTH WEST","SW"
"74","Tyne and Wear",NA,1146624,"NORTH EAST","NE"
"75","Warrington","Unitary Authority",209397,"NORTH WEST","NW"
"76","Warwickshire","County",583786,"WEST MIDLANDS","WM"
"77","West Berkshire","Unitary Authority",158465,"SOUTH EAST","SE"
"78","West Midlands",NA,2939927,"WEST MIDLANDS","WM"
"79","West Sussex","County",867635,"SOUTH EAST","SE"
"80","West Yorkshire",NA,2345235,"YORKSHIRE AND THE HUMBER","YH"
"81","Wiltshire","Unitary Authority",504070,"SOUTH WEST","SW"
"82","Windsor and Maidenhead","Unitary Authority",151273,"SOUTH EAST","SE"
"83","Wokingham","Unitary Authority",173945,"SOUTH EAST","SE"
"84","Worcestershire","County",598070,"WEST MIDLANDS","WM"
"85","York","Unitary Authority",211012,"YORKSHIRE AND THE HUMBER","YH"
