"","(Intercept)","dayFriday","dayMonday","daySaturday","dayThursday","dayTuesday","dayWednesday","days_since_lockdown"
"Bath and North East Somerset",-46.5836734693878,-3.25612244897959,-4.74693877551021,4.49693877551021,-3.2591836734694,-4.24387755102041,-2.49081632653061,0.246938775510204
"Bedford",-16.3734693877551,-17.2224489795918,-18.1387755102041,-2.11122448979592,-17.3336734693877,-17.7775510204082,-15.9163265306122,0.138775510204081
"Blackburn with Darwen",-21.9265306122449,-9.67755102040816,-8.91122448979592,-1.33877551020408,-9.76632653061223,-9.32244897959183,-7.98367346938775,0.161224489795918
"Blackpool",-34.0306122448979,-0.301020408163268,-0.724489795918367,0.224489795918367,-0.0765306122448681,0.801020408163267,1.0765306122449,0.224489795918367
"Borough of Halton",-19.5683673469388,-15.480612244898,-15.134693877551,-3.36530612244898,-14.3459183673469,-15.019387755102,-13.4040816326531,0.13469387755102
"Bracknell Forest",-35.7887755102041,-10.4479591836735,-12.6510204081633,7.65102040816327,-10.7969387755102,-12.3020408163265,-10.2030612244898,0.151020408163265
"Brighton and Hove",-41.0030612244898,-8.05510204081632,-9.72244897959184,0.72244897959184,-8.3326530612245,-8.94489795918367,-6.91734693877551,0.222448979591837
"Bristol City",-33.284693877551,-17.6244897959184,-19.1877551020408,-0.0622448979591828,-17.6867346938775,-18.6255102040816,-17.5632653061224,0.187755102040816
"Buckinghamshire",-31.1510204081633,-11.4683673469388,-12.8908163265306,2.64081632653061,-11.3275510204082,-12.5316326530612,-10.4224489795918,0.140816326530612
"Cambridgeshire",-28.5744897959184,-15.0908163265306,-15.3295918367347,1.0795918367347,-12.7612244897959,-14.6591836734694,-11.9887755102041,0.0795918367346936
"Central Bedfordshire",-23.1510204081633,-14.2183673469388,-15.3908163265306,0.890816326530617,-14.5775510204082,-15.0316326530612,-13.1724489795918,0.140816326530612
"Cheshire East",-29.7,-12.35,-13.2,-1.3,-11.9,-12.4,-10.85,0.2
"Cheshire West and Chester",-33.115306122449,-8.82551020408163,-8.21224489795918,-1.28775510204081,-8.36326530612244,-8.42448979591836,-6.63673469387755,0.212244897959183
"Cornwall",-34.8357142857143,-1.04285714285714,1.27142857142857,1.22857142857143,2.93571428571431,-1.95714285714286,3.81428571428571,0.228571428571428
"County Durham",-27.7316326530612,-6.91938775510205,-7.41530612244898,1.41530612244898,-6.25408163265303,-7.58061224489796,-3.99591836734694,0.165306122448979
"Cumbria",-33.3969387755102,-3.14489795918367,-1.67755102040816,-2.32244897959184,0.282653061224517,-1.60510204081633,-0.782653061224488,0.177551020408163
"Darlington",-23.4897959183673,-13.5663265306122,-12.0918367346939,-5.90816326530612,-11.4744897959184,-11.9336734693878,-11.0255102040816,0.0918367346938771
"Derby",-28.7295918367347,-11.8826530612245,-12.1836734693878,-0.56632653061224,-10.9489795918367,-11.1173469387755,-10.0510204081633,0.183673469387755
"Derbyshire",-29.6744897959183,-8.39081632653061,-7.42959183673469,-0.320408163265304,-6.46122448979589,-7.10918367346938,-7.03877551020408,0.179591836734693
"Devon",-35.3397959183673,-0.366326530612247,-1.94183673469388,0.191836734693877,-1.92448979591834,-0.133673469387753,-0.575510204081631,0.191836734693877
"Dorset",-35.7530612244898,-4.80510204081633,-5.72244897959184,-1.02755102040816,-2.83265306122447,-4.44489795918367,-3.66734693877551,0.222448979591836
"East Riding of Yorkshire",-27.7061224489796,-6.46020408163265,-6.39489795918367,-0.105102040816325,-6.06530612244895,-6.78979591836734,-5.18469387755102,0.144897959183673
"East Sussex",-35.4306122448979,-2.25102040816327,-1.87448979591837,3.37448979591837,-2.37653061224487,-2.24897959183673,-1.6234693877551,0.124489795918367
"Essex",-29.6295918367347,-9.08265306122449,-10.8336734693878,0.833673469387755,-9.24897959183672,-9.41734693877551,-7.50102040816326,0.0836734693877546
"Gloucestershire",-29.8142857142857,-6.90714285714286,-8.42142857142857,0.171428571428573,-7.48571428571426,-6.34285714285714,-7.51428571428571,0.171428571428571
"Greater London",-35.7908163265306,-14.734693877551,-16.3826530612245,1.63265306122449,-16.1020408163265,-16.515306122449,-14.1479591836735,0.132653061224489
"Greater Manchester",-28.3989795918367,-13.4316326530612,-13.1591836734694,-1.59081632653061,-12.7724489795918,-13.3183673469388,-11.9775510204082,0.159183673469387
"Hampshire",-30.4795918367347,-9.6326530612245,-10.9336734693878,1.68367346938775,-9.19897959183672,-11.1173469387755,-8.30102040816327,0.183673469387755
"Hartlepool",-22.2867346938775,-8.66122448979592,-8.16938775510204,-3.08061224489796,-9.99183673469385,-9.33877551020408,-7.50816326530612,0.16938775510204
"Herefordshire",-28.7571428571428,-0.628571428571429,0.314285714285714,1.68571428571429,0.807142857142869,1.62857142857143,1.69285714285714,0.185714285714285
"Isle of Wight",-31.0010204081632,-0.768367346938777,-0.490816326530612,-0.759183673469389,-0.277551020408141,0.768367346938776,2.27755102040816,0.240816326530612
"Kent",-24.2438775510204,-11.6397959183673,-11.0551020408163,0.805102040816328,-11.834693877551,-10.8602040816326,-9.66530612244897,0.0551020408163259
"Kingston upon Hull",-27.4479591836734,-7.56326530612245,-7.46836734693878,0.968367346938776,-6.84489795918364,-7.93673469387755,-6.90510204081632,0.218367346938775
"Lancashire",-26.7887755102041,-8.69795918367347,-7.15102040816326,0.901020408163271,-8.04693877551018,-7.80204081632652,-6.45306122448979,0.151020408163265
"Leicester",-22.7040816326531,-15.6734693877551,-17.1632653061225,-2.08673469387754,-15.2602040816326,-16.3265306122449,-13.9897959183673,0.163265306122449
"Leicestershire",-28.7887755102041,-9.19795918367346,-12.6510204081633,-1.09897959183673,-10.0469387755102,-13.0520408163265,-10.7030612244898,0.151020408163265
"Lincolnshire",-27.0153061224489,-5.52551020408163,-2.36224489795918,-0.137755102040817,-5.66326530612243,-3.22448979591837,-2.83673469387755,0.112244897959183
"Luton",-13.9642857142857,-15.8571428571429,-16.8214285714286,-0.678571428571421,-16.0357142857143,-15.8928571428571,-13.9642857142857,0.0714285714285709
"Medway",-28.1989795918367,-9.83163265306123,-10.2091836734694,1.20918367346939,-10.1224489795918,-10.6683673469388,-8.62755102040816,-0.0408163265306126
"Merseyside",-33.3122448979592,-5.87040816326531,-6.68979591836735,0.689795918367348,-4.68061224489793,-6.87959183673469,-4.56938775510204,0.189795918367346
"Middlesbrough",-24.7336734693877,-7.45612244897959,-7.6469387755102,-1.3530612244898,-8.05918367346936,-7.04387755102041,-6.19081632653061,0.146938775510203
"Milton Keynes",-19.8928571428572,-21.0714285714286,-22.2142857142857,0.714285714285722,-21.1071428571429,-22.1785714285714,-20.3928571428571,0.214285714285714
"Norfolk",-27.8438775510204,-5.68979591836735,-3.90510204081633,-1.09489795918367,-4.28469387755099,-6.31020408163265,-2.96530612244898,0.155102040816326
"North East Lincolnshire",-26.5581632653061,-5.29693877551021,-4.4765306122449,-2.5234693877551,-4.82040816326528,-4.70306122448979,-3.42959183673469,0.226530612244897
"North Lincolnshire",-21.2122448979592,-9.07040816326531,-8.58979591836735,-4.66020408163265,-8.73061224489794,-9.17959183673469,-7.76938775510204,0.0897959183673463
"North Somerset",-29.6510204081632,-8.71836734693878,-9.39081632653061,0.390816326530614,-8.07755102040815,-9.03163265306122,-8.17244897959183,0.140816326530612
"North Yorkshire",-35.3989795918367,-1.93163265306122,-3.15918367346939,-1.09081632653061,-1.52244897959182,-1.31836734693877,-4.22755102040816,0.159183673469387
"Northamptonshire",-19.8122448979592,-13.3704081632653,-14.4397959183674,-0.560204081632649,-12.6806122448979,-13.3795918367347,-12.569387755102,0.189795918367346
"Northumberland",-32.6867346938775,-6.11122448979592,-5.81938775510204,1.06938775510204,-5.79183673469386,-6.13877551020408,-4.45816326530612,0.0693877551020404
"Nottingham",-32.5857142857143,-11.0428571428571,-12.9785714285714,-1.77142857142857,-11.3142857142857,-12.2071428571429,-10.1857142857143,0.228571428571428
"Nottinghamshire",-26.3418367346939,-10.6530612244898,-10.4234693877551,-0.326530612244893,-9.72959183673467,-9.8469387755102,-8.7704081632653,0.173469387755101
"Oxfordshire",-31.6173469387755,-10.8622448979592,-11.4438775510204,-0.056122448979587,-12.9183673469388,-9.88775510204081,-9.58163265306122,0.193877551020408
"Peterborough",-13.8969387755102,-18.3948979591837,-18.6775510204082,-1.32244897959183,-18.4673469387755,-19.3551020408163,-17.5326530612245,0.177551020408163
"Plymouth",-35.804081632653,-3.4734693877551,-3.76326530612245,-1.73673469387755,-2.71020408163263,-3.7765306122449,-2.53979591836735,0.263265306122448
"Portsmouth",-37.1132653061225,-8.28877551020408,-8.98061224489796,-1.51938775510204,-7.55816326530612,-8.46122448979592,-6.44183673469388,0.230612244897959
"Reading",-29.4265306122449,-20.6775510204082,-23.9112244897959,-0.338775510204076,-22.2663265306122,-22.8224489795918,-21.4836734693878,0.161224489795918
"Redcar and Cleveland",-26.104081632653,-6.8734693877551,-7.06326530612245,-3.18673469387755,-6.06020408163263,-5.6265306122449,-4.18979591836735,0.0632653061224483
"Rutland",-39.952380952381,6.70714285714286,7.12142857142858,3.76190476190476,7.15238095238094,6.17619047619048,8.48095238095238,0.195238095238096
"Shropshire",-27.0897959183673,-7.11632653061225,-5.94183673469388,-0.308163265306124,-9.17448979591834,-4.13367346938775,-4.32551020408163,0.191836734693877
"Slough",-30.4663265306122,-6.64387755102041,-8.8030612244898,6.5530612244898,-8.3408163265306,-9.10612244897959,-6.90918367346938,0.0530612244897955
"Somerset",-28.4265306122449,-4.42755102040816,-4.41122448979592,-0.338775510204081,-3.01632653061222,-6.32244897959183,-2.98367346938775,0.161224489795918
"South Gloucestershire",-28.0642857142857,-16.9071428571429,-18.6714285714286,-0.578571428571427,-16.9857142857143,-17.8428571428571,-16.7642857142857,0.171428571428571
"South Yorkshire",-27.6489795918367,-9.18163265306122,-9.90918367346939,-0.84081632653061,-9.27244897959181,-9.81836734693877,-8.47755102040816,0.159183673469387
"Southampton",-37.615306122449,-8.07551020408163,-8.96224489795918,0.212244897959189,-8.11326530612244,-8.67448979591836,-6.63673469387755,0.212244897959184
"Southend-on-Sea",-29.7908163265306,-10.734693877551,-11.3826530612245,0.382653061224493,-10.3520408163265,-10.765306122449,-8.39795918367346,0.132653061224489
"Staffordshire",-26.0938775510204,-10.6897959183673,-9.90510204081633,-0.844897959183668,-9.78469387755099,-10.0602040816326,-9.71530612244897,0.155102040816326
"Stockton-on-Tees",-27.8438775510204,-6.68979591836735,-6.15510204081633,2.15510204081633,-5.03469387755098,-6.31020408163265,-3.71530612244897,0.155102040816326
"Stoke-on-Trent",-25.5938775510204,-7.43979591836735,-7.15510204081633,-0.594897959183672,-6.78469387755099,-7.31020408163265,-5.71530612244897,0.155102040816326
"Suffolk",-29.3734693877551,-4.22244897959184,-7.13877551020409,0.888775510204082,-5.33367346938773,-5.52755102040816,-2.66632653061224,0.138775510204081
"Surrey",-32.7612244897959,-12.4520408163265,-16.1489795918367,3.39897959183674,-14.8030612244898,-16.5479591836735,-14.4469387755102,0.148979591836734
"Swindon",-21.1744897959184,-18.3908163265306,-19.4295918367347,-1.5704081632653,-18.2112244897959,-18.6091836734694,-17.5387755102041,0.179591836734694
"Thurrock",-25.8775510204081,-10.7959183673469,-11.6020408163265,0.602040816326535,-10.9438775510204,-11.9540816326531,-10.3061224489796,0.10204081632653
"Torbay",-36.8142857142857,2.59285714285714,2.32857142857143,0.921428571428569,3.76428571428574,3.15714285714286,4.23571428571429,0.171428571428571
"Tyne and Wear",-32.1510204081632,-8.96836734693878,-8.64081632653061,-2.85918367346939,-8.82755102040814,-8.78163265306122,-7.92244897959184,0.140816326530612
"Warrington",-24.2428571428571,-19.3714285714286,-20.3142857142857,-1.93571428571428,-18.8071428571429,-19.6285714285714,-18.4428571428571,0.314285714285714
"Warwickshire",-26.3163265306122,-14.4438775510204,-14.6530612244898,-2.8469387755102,-14.2908163265306,-15.8061224489796,-14.4591836734694,0.153061224489796
"West Berkshire",-30.1448979591837,-16.8581632653061,-18.4459183673469,1.94591836734694,-17.1622448979592,-18.3918367346939,-16.5877551020408,0.195918367346939
"West Midlands",-27.5959183673469,-10.4765306122449,-11.8867346938776,-0.613265306122444,-10.3397959183673,-11.5234693877551,-9.66020408163265,0.13673469387755
"West Sussex",-31.5642857142857,-7.15714285714286,-9.67142857142858,1.92142857142857,-7.48571428571427,-8.59285714285714,-6.76428571428571,0.171428571428571
"West Yorkshire",-30.0091836734694,-11.665306122449,-12.4173469387755,-0.0826530612244879,-11.9979591836735,-12.084693877551,-11.5020408163265,0.16734693877551
"Wiltshire",-29.204081632653,-5.6734693877551,-8.41326530612245,0.163265306122452,-6.51020408163263,-8.07653061224489,-6.98979591836734,0.163265306122448
"Windsor and Maidenhead",-34.9030612244898,-14.0051020408163,-16.6224489795918,1.62244897959184,-15.6326530612245,-15.7448979591837,-14.3673469387755,0.122448979591836
"Wokingham",-31.3479591836735,-18.5132653061224,-21.8683673469388,0.61836734693878,-20.3948979591837,-21.2367346938775,-18.8551020408163,0.118367346938775
"Worcestershire",-28.8122448979591,-6.37040816326531,-7.18979591836735,-0.310204081632654,-6.18061224489793,-2.62959183673469,-6.31938775510204,0.189795918367346
"York",-43.5030612244898,-6.05510204081632,-6.97244897959184,-0.527551020408162,-6.5826530612245,-5.69489795918367,-4.41734693877551,0.222448979591837
