series,type,date_series
0.17359800143840642,prev,2020-05-04
0.15538226503962713,prev,2020-05-05
0.1386406927742448,prev,2020-05-06
0.12361550428069026,prev,2020-05-07
0.10999465128107773,prev,2020-05-08
0.0977815662373658,prev,2020-05-09
0.08696625311483773,prev,2020-05-10
0.07739209263156208,prev,2020-05-11
0.06890151746944075,prev,2020-05-12
0.06151086637283904,prev,2020-05-13
0.05489499411170483,prev,2020-05-14
0.048931686102985004,prev,2020-05-15
0.04359659751810804,prev,2020-05-16
0.038801973465037755,prev,2020-05-17
0.034567118869798234,prev,2020-05-18
0.03089338974351677,prev,2020-05-19
0.027669533755888067,prev,2020-05-20
0.024837581449873636,prev,2020-05-21
0.02237996588230299,prev,2020-05-22
0.02021675299549054,prev,2020-05-23
0.018324663989559446,prev,2020-05-24
0.016660198634152065,prev,2020-05-25
0.015264396496688296,prev,2020-05-26
0.014053642109521002,prev,2020-05-27
0.013022868751078099,prev,2020-05-28
0.012196053924514266,prev,2020-05-29
0.011533696027002065,prev,2020-05-30
0.011047363601667637,prev,2020-05-31
0.010706918781895136,prev,2020-06-01
0.010499900502926533,prev,2020-06-02
0.010377448021013041,prev,2020-06-03
0.010363385413965016,prev,2020-06-04
0.010405316839676675,prev,2020-06-05
0.010511665585458463,prev,2020-06-06
0.010682804215988322,prev,2020-06-07
0.010921292857937272,prev,2020-06-08
0.011197078085725166,prev,2020-06-09
0.01149502693826338,prev,2020-06-10
0.01182979341432521,prev,2020-06-11
0.01219895083414137,prev,2020-06-12
0.012593953159973838,prev,2020-06-13
0.012989900716829674,prev,2020-06-14
0.013400285544650009,prev,2020-06-15
0.013817712178098187,prev,2020-06-16
0.014213972774849126,prev,2020-06-17
0.0145743056157947,prev,2020-06-18
0.014886280770453147,prev,2020-06-19
0.015116373309119942,prev,2020-06-20
0.015228909167277049,prev,2020-06-21
0.015270741844719654,prev,2020-06-22
0.015201848085866344,prev,2020-06-23
0.015076515838013933,prev,2020-06-24
0.014894414995379562,prev,2020-06-25
0.014670602118704877,prev,2020-06-26
0.014366213677130802,prev,2020-06-27
0.014044495508936763,prev,2020-06-28
0.013681267992141406,prev,2020-06-29
0.013279878867334564,prev,2020-06-30
0.012841753666791786,prev,2020-07-01
0.012370699211268025,prev,2020-07-02
0.01185888591952358,prev,2020-07-03
0.011316419260452458,prev,2020-07-04
0.01072502084476879,prev,2020-07-05
0.010103427679392108,prev,2020-07-06
0.009449012707093233,prev,2020-07-07
0.008788929620477049,prev,2020-07-08
0.008158484859091568,prev,2020-07-09
0.007547942628686504,prev,2020-07-10
0.006962100733574616,prev,2020-07-11
0.0064097979217565375,prev,2020-07-12
0.005888993464636393,prev,2020-07-13
0.005426417750049219,prev,2020-07-14
0.005006166699398924,prev,2020-07-15
0.004626857257166787,prev,2020-07-16
0.004264093745779755,prev,2020-07-17
0.003916704033311579,prev,2020-07-18
0.003570092508435033,prev,2020-07-19
0.0032338996518125325,prev,2020-07-20
0.002888912675552239,prev,2020-07-21
0.00253832789836551,prev,2020-07-22
0.0021837090157232238,prev,2020-07-23
0.00184457815009024,prev,2020-07-24
0.001525532098073482,prev,2020-07-25
0.0012276238880956395,prev,2020-07-26
9.576993218600033e-4,prev,2020-07-27
7.253316571488931e-4,prev,2020-07-28
5.164357917298716e-4,prev,2020-07-29
3.5354033244231777e-4,prev,2020-07-30
2.3188910949414724e-4,prev,2020-07-31
1.4426284179683497e-4,prev,2020-08-01
7.726112148814648e-5,prev,2020-08-02
3.208511996221039e-5,prev,2020-08-03
3.0220467958274627e-6,prev,2020-08-04
3.0220467958274627e-6,prev,2020-08-05
1.5388526570524952e-5,prev,2020-08-06
4.1602387474633385e-5,prev,2020-08-07
8.263783975594718e-5,prev,2020-08-08
1.5731210624662757e-4,prev,2020-08-09
2.431972542588586e-4,prev,2020-08-10
3.5475168922063086e-4,prev,2020-08-11
4.8056381386567135e-4,prev,2020-08-12
6.369943270976956e-4,prev,2020-08-13
8.227579601163923e-4,prev,2020-08-14
0.0010654266988335546,prev,2020-08-15
0.0013389580476347027,prev,2020-08-16
0.0016784104195781337,prev,2020-08-17
0.0020990401917929304,prev,2020-08-18
0.002592117517461334,prev,2020-08-19
0.0031745040402513048,prev,2020-08-20
0.003860483776505965,prev,2020-08-21
0.004655355942083818,prev,2020-08-22
0.005560171706702082,prev,2020-08-23
0.006599587364530122,prev,2020-08-24
0.00776648323135521,prev,2020-08-25
0.00906747036452613,prev,2020-08-26
0.010512913847133395,prev,2020-08-27
0.012108052147560342,prev,2020-08-28
0.013858334992128947,prev,2020-08-29
0.0157695048691227,prev,2020-08-30
0.01782227288585717,prev,2020-08-31
0.020019980189647117,prev,2020-09-01
0.02236019818840411,prev,2020-09-02
0.024860971887662946,prev,2020-09-03
0.027493642847198213,prev,2020-09-04
0.030236933551124192,prev,2020-09-05
0.03313812518975512,prev,2020-09-06
0.03608017100001243,prev,2020-09-07
0.039125531692803264,prev,2020-09-08
0.04228654487856529,prev,2020-09-09
0.045531652064876575,prev,2020-09-10
0.04885074525100146,prev,2020-09-11
0.052216372142060645,prev,2020-09-12
0.05561312759652218,prev,2020-09-13
0.05900744315140417,prev,2020-09-14
0.062447192880143894,prev,2020-09-15
0.06584701252471568,prev,2020-09-16
0.0691781437430319,prev,2020-09-17
0.07246416326620861,prev,2020-09-18
0.07560008342643554,prev,2020-09-19
0.0786020095415209,prev,2020-09-20
0.08124339409957533,prev,2020-09-21
0.08349542051451854,prev,2020-09-22
0.08534789636933514,prev,2020-09-23
0.08669979190976834,prev,2020-09-24
0.0876620958526423,prev,2020-09-25
0.08835431149628718,prev,2020-09-26
0.08872784553689263,prev,2020-09-27
0.08891606187514164,prev,2020-09-28
0.08897837867215545,prev,2020-09-29
0.0889994241167153,prev,2020-09-30
0.08911374272580726,prev,2020-10-01
